billing_id,user_id,created_date,credit_card_provider,credit_card_security_code,credit_card_number,credit_card_expiry_date
119,4964,2022-02-17,Mastercard,107,4677943041757,08/31
120,7956,2023-02-18,VISA 19 digit,855,3555402716575775,11/28
121,6254,2021-09-28,JCB 16 digit,549,4560735297698,07/25
122,3594,2020-09-14,JCB 16 digit,774,3510433074535287,01/32
123,8069,2022-02-10,JCB 16 digit,005,38028625903411,12/28
124,25,2023-06-08,VISA 13 digit,252,4140477475368752,04/26
125,1677,2020-07-22,VISA 16 digit,969,3519739205637540,07/26
126,6401,2020-09-04,JCB 15 digit,267,4731640170656,08/27
127,7462,2022-05-30,JCB 15 digit,560,3588105008307911,06/24
128,4551,2020-10-13,JCB 15 digit,251,213165979882663,05/32
129,9973,2023-01-18,VISA 13 digit,390,3580752019786191,03/32
130,2042,2022-11-22,Discover,706,3588541915859927,05/28
131,8270,2023-05-06,VISA 13 digit,122,4502409177699,09/29
132,947,2021-08-19,JCB 16 digit,976,30446708252183,01/26
133,4649,2023-03-30,Discover,070,3543737841299337,07/24
134,6169,2020-06-06,JCB 16 digit,302,676285764137,04/31
135,9807,2020-01-14,Diners Club / Carte Blanche,605,4819933824799030,04/26
136,5391,2022-10-24,Mastercard,773,4525858854662744221,08/30
137,6981,2020-08-31,JCB 16 digit,519,502075982608,02/30
138,2569,2022-01-06,VISA 13 digit,256,4342638592176800,07/27
139,8798,2021-07-17,VISA 19 digit,879,3506465947657803,08/24
140,5209,2020-01-24,VISA 19 digit,818,4643243915642269,07/29
141,4311,2020-09-29,JCB 16 digit,245,4319246655829286637,10/28
142,482,2021-05-28,JCB 16 digit,636,639088549238,03/24
143,1372,2021-10-19,JCB 16 digit,718,374185913295769,07/31
144,2376,2020-07-10,American Express,118,676173845022,01/28
145,8512,2023-03-04,Maestro,381,2236782052712051,01/26
146,8420,2023-02-24,Discover,015,5236315709852724,03/27
147,4218,2022-08-27,VISA 16 digit,034,4595851640875,08/31
148,8525,2020-06-24,JCB 15 digit,112,213114601110358,02/29
149,2528,2022-07-13,VISA 16 digit,242,4593743092624196,08/27
150,3601,2021-04-30,VISA 19 digit,650,4784983631543866,03/31
151,6599,2020-10-09,VISA 16 digit,802,4558758420855570,07/26
152,6306,2021-12-04,Maestro,171,4346853197303902592,01/31
153,1858,2023-05-24,JCB 15 digit,979,4565796922842496243,03/32
154,3481,2023-03-09,VISA 13 digit,823,4539385645596,04/25
155,8936,2021-08-04,VISA 16 digit,871,4551686494806,03/26
156,2602,2020-03-09,VISA 16 digit,717,4252852686383564,04/31
157,1157,2022-12-16,Maestro,354,180077899281927,06/26
158,6703,2022-09-24,JCB 16 digit,692,180039339892697,12/29
159,2855,2023-01-10,VISA 16 digit,241,4668185894326,01/33
160,5325,2021-07-10,American Express,617,180004919665673,04/25
161,2368,2020-05-20,VISA 16 digit,7010,379745835746978,11/29
162,7225,2021-12-02,VISA 19 digit,608,4116922892645639,02/27
163,5479,2022-11-20,Diners Club / Carte Blanche,832,3502715046421046,03/28
164,8175,2022-02-02,VISA 16 digit,552,4982575555735605506,10/32
165,4571,2022-02-18,JCB 15 digit,679,4169972235667176,09/29
166,7523,2021-10-19,VISA 16 digit,796,2252957975840606,06/26
167,8709,2022-08-29,JCB 16 digit,293,4939053054561312347,07/29
168,691,2022-07-27,American Express,044,4469977736985,11/32
169,2693,2021-07-21,VISA 13 digit,393,180052590280486,02/31
170,5372,2020-09-26,VISA 13 digit,249,5468385275572351,06/26
171,3801,2022-12-10,American Express,207,349624500469900,07/26
172,7373,2023-04-10,Discover,4659,374930514160593,05/31
173,7779,2022-12-14,JCB 16 digit,501,30398898009529,10/25
174,419,2022-04-11,JCB 16 digit,820,30170597483788,03/28
175,1795,2023-04-01,VISA 16 digit,031,3566414317275322,07/28
176,2790,2023-01-13,Mastercard,457,5365523226252251,06/25
177,3846,2023-03-23,JCB 15 digit,650,3518988114392579,04/32
178,9601,2022-01-29,Maestro,703,5515611776845944,04/27
179,627,2020-05-03,VISA 13 digit,107,30482494985736,11/31
180,3944,2022-07-11,Mastercard,116,347620244748742,06/26
181,5018,2021-07-27,JCB 16 digit,161,4758616189279,09/26
182,4582,2021-04-13,VISA 19 digit,150,347038155499249,09/30
183,7218,2020-04-16,JCB 15 digit,383,4293198456137905900,04/29
184,1564,2021-06-12,JCB 16 digit,652,6011803624787793,12/24
185,5938,2021-07-19,JCB 16 digit,531,3527953059434744,08/27
186,2211,2022-05-07,JCB 16 digit,916,4550025221703021,11/30
187,5832,2021-07-11,VISA 19 digit,485,3575908101820945,12/23
188,3803,2021-06-03,JCB 16 digit,594,3580833973563287,03/29
189,889,2023-05-17,Maestro,909,6011918664025167,07/31
190,9786,2022-09-03,VISA 16 digit,490,6591743973277111,02/31
191,8568,2021-07-16,VISA 16 digit,986,30511018544254,12/28
192,4010,2022-05-12,Diners Club / Carte Blanche,344,3551103678991349,07/24
193,1756,2023-01-31,JCB 15 digit,438,4464784626401210,02/25
194,5694,2022-05-18,Discover,086,2295502174310743,03/28
195,5464,2021-08-12,Diners Club / Carte Blanche,534,4253702371730075,08/28
196,4065,2022-05-25,Discover,565,348854223060444,07/27
197,9139,2021-08-20,VISA 16 digit,641,3598272216701240,04/29
198,4537,2022-03-06,Maestro,811,4859343590154926,02/32
199,4401,2022-09-15,Mastercard,367,3565812905534060,10/31
200,864,2023-07-06,VISA 16 digit,444,213184402194919,12/30
201,7257,2021-01-11,Maestro,455,213127005459734,08/30
202,5435,2020-06-03,JCB 15 digit,239,30110560869423,07/24
203,8035,2023-03-08,VISA 19 digit,992,4020858042028679,06/29
204,9950,2023-03-02,VISA 16 digit,538,4238646547626513529,06/25
205,6996,2022-11-18,Discover,863,4957342327824034,06/26
206,2923,2022-08-22,JCB 15 digit,284,180055944099296,03/30
207,3732,2022-06-20,Diners Club / Carte Blanche,5023,213130918250331,11/28
208,3689,2021-02-23,Mastercard,310,372051250700211,09/27
209,8955,2021-04-18,VISA 16 digit,446,6557091274813784,02/25
210,9567,2022-03-16,VISA 16 digit,628,378614109129728,10/31
211,7468,2022-01-26,Discover,797,5347507683586973,03/28
212,2656,2022-02-04,VISA 16 digit,622,3561057439869236,05/30
213,7459,2023-02-20,Maestro,6570,4486277091001759,03/31
214,5041,2022-09-03,Diners Club / Carte Blanche,615,6518368998412079,08/25
215,3088,2020-07-15,American Express,801,30177147836514,02/24
216,8376,2020-11-13,Maestro,409,3510101990230891,06/30
217,7328,2022-01-05,VISA 16 digit,371,6519287035372576,12/28
218,1813,2022-01-21,Mastercard,590,213145481920839,06/26
219,5851,2022-11-24,VISA 13 digit,930,4347006740833463,08/25
220,4141,2020-07-01,VISA 16 digit,980,4211220236649,12/29
221,9061,2022-09-23,VISA 16 digit,817,3572955553520567,10/26
222,3333,2022-08-29,JCB 15 digit,383,4623432856885496586,12/31
223,5869,2023-06-02,JCB 16 digit,3860,6553917074044531,07/23
224,8364,2021-08-02,VISA 13 digit,5614,676134425013,11/30
225,6589,2020-06-02,Discover,261,376960472978742,09/32
226,8502,2023-06-06,JCB 15 digit,644,6011981100440663,01/27
227,250,2023-04-30,JCB 15 digit,295,3510376296139232,06/24
228,5687,2022-10-21,JCB 16 digit,002,502095311333,03/30
229,6734,2022-01-27,VISA 13 digit,662,6597235347736744,11/24
230,7825,2020-08-26,VISA 16 digit,358,3555325195540285,07/29
231,8068,2021-11-30,Mastercard,570,30072185232462,03/33
232,6218,2020-07-04,VISA 16 digit,664,6011551255344463,09/32
233,6891,2020-06-14,VISA 19 digit,518,676342978910,07/31
234,4225,2023-05-25,Mastercard,503,3530331374626473,07/30
235,1872,2022-02-02,Mastercard,467,4122988837793,04/28
236,4736,2022-01-13,Maestro,728,4614119547606,07/23
237,458,2020-10-01,VISA 16 digit,1016,180021124984400,07/25
238,6054,2021-12-15,VISA 16 digit,926,4741446686232389539,04/25
239,2449,2022-12-12,Diners Club / Carte Blanche,241,30503997650608,03/26
240,2073,2022-04-10,Maestro,659,4352409909802,07/31
241,5554,2023-04-06,JCB 15 digit,679,4621470108175,06/27
242,2305,2020-08-18,JCB 16 digit,458,4659726832354887828,02/28
243,69,2020-02-19,JCB 15 digit,500,572308095163,03/33
244,2128,2023-03-05,VISA 19 digit,030,4422430776157837,02/32
245,3862,2020-05-31,JCB 16 digit,9842,4348407584912844,09/28
246,3063,2022-10-09,VISA 16 digit,136,30431961317337,12/23
247,300,2020-11-18,VISA 19 digit,794,4300840900768307667,03/25
248,9462,2020-02-17,VISA 16 digit,4506,4879768868007297,06/33
249,8072,2020-05-16,Discover,3239,3575732526747438,07/25
250,8982,2021-01-07,Discover,092,30111036835097,12/31
251,1948,2021-12-24,Mastercard,284,4312086058532742,07/24
252,5548,2023-01-18,VISA 16 digit,191,3528066535353419,02/31
253,1006,2023-04-03,JCB 15 digit,5151,30260406171391,08/28
254,7361,2021-05-31,JCB 16 digit,161,30333528596033,10/32
255,7689,2020-10-17,VISA 19 digit,461,30347636687781,12/25
256,4868,2022-05-08,Maestro,897,4064621523681036408,01/26
257,6333,2020-02-29,American Express,774,3583470107679056,09/28
258,4561,2021-08-19,VISA 16 digit,378,4019346330761436,04/26
259,2437,2020-07-08,VISA 13 digit,040,3562878453823760,09/28
260,5987,2020-10-20,Discover,456,3567728722995268,11/32
261,3968,2023-02-01,Mastercard,051,4406325354668066,07/25
262,6005,2021-07-29,VISA 13 digit,806,4303048055565621,11/25
263,6712,2020-08-05,Mastercard,938,2249143769042693,02/30
264,8133,2023-02-13,Maestro,525,349756079925399,11/24
265,4103,2021-10-05,Mastercard,285,4873288206016622179,07/33
266,2522,2023-06-13,VISA 19 digit,976,180063515026995,03/33
267,3959,2021-08-22,JCB 16 digit,7366,3513180090079116,01/27
268,2882,2022-05-12,VISA 16 digit,685,4012058707853,12/28
269,9430,2022-02-28,JCB 16 digit,132,4949785561063,10/23
270,9121,2020-07-31,JCB 15 digit,297,180030604355379,09/31
271,1252,2023-03-14,VISA 19 digit,371,213184964110279,11/29
272,8041,2020-03-30,VISA 13 digit,953,3557775884934181,09/30
273,7472,2022-05-08,Discover,491,4081078091697,10/25
274,6029,2021-10-25,VISA 13 digit,115,4855649203796349,11/30
275,1404,2021-04-11,American Express,696,3516237272186924,10/31
276,4590,2021-03-11,JCB 15 digit,804,4382494044621821023,05/25
277,642,2022-10-13,JCB 15 digit,134,3508884645526599,03/24
278,5065,2020-11-25,JCB 15 digit,205,4216177809283931185,03/27
279,1880,2020-05-10,Discover,438,3585753281401142,02/28
280,5311,2022-10-02,JCB 16 digit,391,370710834669406,03/33
281,683,2020-12-07,VISA 13 digit,038,574721940843,04/28
282,8184,2022-12-02,VISA 16 digit,447,4455196998530,11/28
283,6103,2022-01-13,Maestro,725,4708603991413824231,10/30
284,1785,2022-12-31,VISA 19 digit,976,6011034413505739,09/32
285,7748,2020-12-25,Maestro,756,30322873301818,12/29
286,7947,2020-01-16,JCB 16 digit,147,213129040879363,02/24
287,4087,2023-02-17,American Express,833,376073526230472,12/31
288,9271,2022-05-12,VISA 16 digit,173,213162330573628,12/30
289,4995,2023-04-04,JCB 16 digit,5008,4249253956642,10/27
290,4013,2021-11-09,VISA 19 digit,949,3551513733743818,11/23
291,4330,2020-01-27,VISA 16 digit,273,4674492138345718218,03/29
292,202,2021-03-07,VISA 16 digit,178,4180530315072,09/30
293,460,2023-02-06,JCB 16 digit,365,4871434137184965,08/27
294,2512,2021-09-27,VISA 13 digit,849,213183638998416,01/32
295,804,2020-03-10,Discover,234,341771290136039,03/26
296,3570,2021-08-01,JCB 15 digit,493,060492662386,07/31
297,8942,2020-03-07,American Express,674,4724801318522167756,10/32
298,9260,2022-04-27,VISA 19 digit,866,4429167898441,06/25
299,2504,2023-05-31,JCB 15 digit,1383,213103064847358,03/31
300,8967,2021-04-17,VISA 16 digit,747,4333389485039,05/28
301,4340,2021-03-04,American Express,8569,4570589813456068603,04/24
302,6471,2020-01-31,Mastercard,070,2535049326916357,03/27
303,2070,2022-12-21,American Express,077,6011440158303299,12/27
304,2335,2022-08-06,VISA 16 digit,136,30255533530071,11/31
305,1902,2023-01-25,Diners Club / Carte Blanche,583,341136046526067,04/24
306,9720,2021-03-16,VISA 19 digit,501,4104020824588710785,03/26
307,1004,2022-09-18,JCB 16 digit,928,213166667706420,12/29
308,2511,2023-03-03,Mastercard,9495,3524909143100207,12/29
309,8481,2021-05-18,Diners Club / Carte Blanche,772,569343526517,06/29
310,4064,2020-08-01,JCB 15 digit,361,30028556644529,04/29
311,2726,2022-07-11,VISA 16 digit,125,30316616146449,05/24
312,847,2022-12-25,VISA 16 digit,820,2235144024314089,11/27
313,6948,2020-05-05,Maestro,760,344951531075462,06/28
314,8767,2021-09-04,American Express,012,6552024584016983,01/25
315,5158,2020-11-29,VISA 16 digit,534,4804829670406,01/30
316,9456,2020-04-20,JCB 16 digit,581,30115685792905,01/28
317,9647,2023-04-19,VISA 19 digit,820,38230347461229,12/29
318,9606,2020-02-16,VISA 16 digit,147,4988650401045331,09/31
319,1430,2023-05-27,VISA 19 digit,288,4633483342875882,05/28
320,7283,2022-05-23,JCB 16 digit,443,376169096810501,04/26
321,3109,2022-07-20,VISA 13 digit,100,3569924598815171,09/30
322,297,2021-06-06,JCB 16 digit,753,3585828431929406,01/24
323,277,2020-03-10,JCB 16 digit,234,4766316570887865,05/27
324,7486,2020-05-05,Discover,419,36264033601774,02/24
325,5878,2020-01-03,Discover,062,2223819718578958,01/32
326,968,2020-03-13,VISA 16 digit,430,180035117826568,12/31
327,1477,2022-04-12,Discover,657,4311463605474,11/25
328,2476,2023-01-09,JCB 16 digit,158,4629424343285,08/31
329,1174,2020-12-26,American Express,749,2701264714845799,12/32
330,8494,2023-06-07,VISA 13 digit,672,4358628119735,04/24
331,3836,2020-10-27,Discover,922,6559328683444373,08/29
332,755,2020-01-17,JCB 15 digit,901,180006855441001,02/24
333,9210,2021-06-16,Mastercard,488,213131756905705,06/25
334,636,2022-11-17,VISA 19 digit,605,2705717373077828,01/32
335,4567,2023-01-09,JCB 15 digit,200,4926026680399,11/25
336,9179,2020-03-26,Mastercard,315,2295142578949976,10/29
337,4481,2023-04-05,Discover,941,36134985649883,04/33
338,785,2021-08-27,Maestro,569,3559280249309458,02/28
339,3581,2021-11-04,American Express,514,4635153350173961,05/24
340,4308,2022-06-26,American Express,948,4726197909941600,05/29
341,7097,2021-11-07,VISA 19 digit,534,340006897960726,05/31
342,8983,2022-05-01,Mastercard,9816,3582511733344705,09/27
343,7677,2023-03-27,Mastercard,008,213104855322049,08/31
344,2801,2020-06-29,Mastercard,569,3531048097753074,09/31
345,6121,2023-07-04,VISA 19 digit,440,4127708063511776,08/25
346,3056,2023-01-04,Diners Club / Carte Blanche,013,38056312783192,08/27
347,6861,2021-09-15,VISA 13 digit,949,4156936361863516,10/26
348,9227,2021-09-11,JCB 15 digit,516,30289506768814,09/26
349,3019,2021-06-26,Diners Club / Carte Blanche,742,4782231381233805,11/30
350,7199,2023-06-21,American Express,676,630425638545,06/27
351,4583,2022-01-09,VISA 19 digit,982,345230130292565,07/30
352,2329,2021-02-04,VISA 16 digit,279,676370555747,06/32
353,5623,2020-12-24,JCB 15 digit,122,2282170324235312,11/26
354,3693,2022-06-17,Maestro,765,3508212380210478,12/29
355,7406,2021-12-10,JCB 16 digit,836,3511031900029753,05/27
356,3948,2023-04-03,VISA 13 digit,734,6588006332062318,11/27
357,6338,2020-07-11,JCB 16 digit,376,4087177394086940,10/29
358,4962,2023-02-25,Diners Club / Carte Blanche,249,675969930436,05/32
359,8212,2020-05-28,VISA 16 digit,757,213101976325570,07/23
360,8527,2020-08-29,VISA 16 digit,955,6504112718463517,07/24
361,8724,2023-03-25,VISA 16 digit,4824,3517840281304427,01/27
362,9698,2022-08-25,Mastercard,8319,3575356103798893,11/26
363,2500,2020-12-29,VISA 16 digit,281,4181097580242912417,03/24
364,645,2022-07-22,JCB 16 digit,364,371962797759778,09/27
365,9691,2021-12-28,VISA 16 digit,2109,6011335058044805,05/30
366,64,2022-09-23,Discover,746,3520324460767576,01/28
367,5978,2021-12-13,JCB 16 digit,321,30012870557948,06/31
368,524,2020-08-29,VISA 19 digit,872,3513215364086403,12/25
369,8334,2021-05-14,VISA 13 digit,588,4540871783131,09/29
370,8694,2022-12-20,JCB 15 digit,100,213145686821444,08/23
371,7531,2020-12-30,Maestro,636,6572647198531066,06/25
372,9745,2021-01-23,VISA 16 digit,867,4446469479664105,01/32
373,9253,2022-08-15,Mastercard,080,3528943729621779,11/29
374,9774,2023-04-02,VISA 16 digit,233,2301323704135894,04/25
375,4243,2022-12-21,VISA 16 digit,796,30432177615845,07/23
376,594,2023-05-20,Maestro,934,4645144416655651,01/24
377,5672,2021-11-29,American Express,945,6543155197829354,01/26
378,6640,2021-03-08,VISA 19 digit,725,4497579524373151,10/32
379,7452,2020-03-31,VISA 16 digit,049,6505251458531486,04/32
380,2060,2020-10-02,VISA 16 digit,259,180090785076582,08/28
381,6376,2022-06-30,VISA 13 digit,624,4503562892744,06/33
382,3453,2020-04-11,Maestro,984,342289002436810,09/25
383,9535,2023-06-21,JCB 16 digit,298,346541197427921,06/29
384,1990,2023-03-10,VISA 16 digit,3051,4404247000813,03/30
385,7845,2022-09-15,JCB 15 digit,185,30385087240635,06/33
386,8415,2021-05-19,Discover,846,3579935659586186,12/31
387,1915,2021-01-03,JCB 15 digit,862,30052779588941,05/31
388,7631,2021-05-10,JCB 16 digit,467,4600872793223857481,07/24
389,4610,2020-02-20,JCB 16 digit,729,676378143702,11/29
390,9457,2021-05-31,VISA 19 digit,488,213116525392772,12/30
391,4176,2022-05-14,JCB 16 digit,095,3585728017767370,12/25
392,9619,2023-06-16,VISA 19 digit,871,5323183939402593,03/27
393,7085,2021-10-13,Discover,265,213164058732527,01/32
394,8207,2021-02-03,VISA 16 digit,533,502072720852,08/32
395,6110,2023-05-29,Maestro,911,213161559794550,02/28
396,8782,2021-05-09,JCB 15 digit,815,180047389288963,08/24
397,1570,2020-08-15,Diners Club / Carte Blanche,466,2276713881989314,06/24
398,3277,2020-04-28,VISA 16 digit,5620,3510716579093145,03/33
399,9215,2020-01-01,VISA 16 digit,512,30174119655709,10/29
400,4260,2022-08-29,Maestro,152,4041591674290227,04/25
401,8356,2023-02-06,VISA 16 digit,701,36487030516139,12/29
402,6564,2021-03-12,VISA 16 digit,881,4472087259753638,06/24
403,2455,2020-05-19,VISA 19 digit,195,3553583073754574,12/31
404,699,2022-01-25,JCB 15 digit,721,4201709145553231,09/28
405,4902,2020-09-06,VISA 16 digit,851,676120726846,01/33
406,6864,2020-02-12,JCB 15 digit,154,180002344557010,05/33
407,1428,2023-06-17,VISA 16 digit,099,213152186066843,03/27
408,787,2021-01-22,VISA 16 digit,175,639003898314,10/32
409,8614,2020-03-31,American Express,017,3558675045984688,12/32
410,7550,2021-04-27,JCB 15 digit,640,3592570451534804,01/31
411,6176,2022-03-19,American Express,300,4655672595748795070,01/31
412,8991,2022-07-22,Mastercard,419,378207103692583,08/27
413,6092,2020-06-27,Diners Club / Carte Blanche,742,4296019848335167,12/27
414,2814,2022-04-05,VISA 16 digit,223,38218274867385,02/33
415,3094,2021-11-19,Maestro,399,3549060635330059,01/33
416,4569,2022-03-31,Mastercard,4827,375197066778193,08/26
417,3618,2020-01-24,American Express,924,3549569155006055,07/31
418,5918,2023-05-19,JCB 15 digit,4553,575372708371,05/29
419,6741,2022-12-14,VISA 16 digit,135,3533249753970766,10/28
420,1739,2023-01-23,JCB 16 digit,859,3594312784233707,04/33
421,2472,2023-05-05,Diners Club / Carte Blanche,362,6546646462169010,12/31
422,1167,2023-06-04,Mastercard,811,4776785254296361,10/24
423,9248,2022-01-06,Diners Club / Carte Blanche,946,376788686375896,10/29
424,6523,2021-06-14,VISA 13 digit,185,341849497538486,02/33
425,5793,2021-03-13,VISA 13 digit,223,370840313511884,08/29
